"","workerid","complete_sentence","segment4","condition","seg3","seg4","seg5","seg6","seg7","seg8","seg9","seg10","seg11","seg12"
"1",0,"""Brian had hired several new people to work at his restaurant.The chef asked him whether any would work in the kitchen.Brian said that only some of them would.He addedthatthe restwould beserversin the dining room.""",""" only some of them """,""" any """,546,290,405,310,423,261,278,341,511,NA
"2",0,"""Paul and Deb were trying to decide which gym to go to.Paul asked Deb whether any had discounts for college students.Deb said that only some of them did.She addedthatthe restwould beatfull price.""",""" only some of them """,""" any """,902,400,372,432,338,468,314,289,441,NA
"3",0,"""Ed and Hillary were considering several universities for grad school.Hillary asked Ed whether all were very competitive in admissions.Ed said that some of them were.He addedthatthe restwould beeasyto get into.""",""" some of them """,""" all """,736,353,502,482,451,351,475,453,503,NA
"4",0,"""Dr. Jones was scheduling end-of-semester meetings.The secretary asked him whether all would be in the afternoon.Dr. Jones said that only some of them would.He addedthatthe restwould beearlyin the morning.""",""" only some of them """,""" all """,437,504,472,457,420,295,293,377,517,NA
"5",0,"""Abby was taking her mom to meet her roommates.Her mom asked Abby whether any would be home right now.Abby said that some of them would.She addedthatthe restwould beat workor in class.""",""" some of them """,""" any """,739,452,269,260,387,352,558,309,282,NA
"6",0,"""The clothing store just received a shipment of jeans.Jared asked Erica whether any should be displayed out front.Erica said that  only some of them should.She addedthatthe restwould bekeptin the backfor now.""",""" only some of them """,""" any """,761,484,459,433,224,220,214,197,514,454
"7",0,"""Jenna and Alex were making cupcakes.Jenna asked Alex whether all were ready to be frosted.Alex said that some of them were.He addedthatthe restwould bereadysoon.""",""" some of them """,""" all """,647,307,254,272,301,275,250,292,486,NA
"8",0,"""The rock band was choosing cities to visit on their next tour.They asked their manager Mary whether any would have good venues available.Mary said that some of them would.She added thatthe restwould bebookedduring the tour.""",""" some of them """,""" any """,337,412,234,229,226,247,310,220,249,NA
"9",0,"""Tracy and Mark were trying to choose a restaurant downtown for their rehearsal dinner.Mark asked Tracy whether any were open on the weekends.Tracy said that only some of them were.She addedthatthe restwould beclosedat that time.""",""" only some of them """,""" any """,651,328,279,259,239,244,247,190,289,NA
"10",0,"""Arthur had set up tables for the garage sale..Sarah asked him whether all would display the nice dishes.Arthur said that some of them would.He addedthatthe restwould betoounstable.""",""" some of them """,""" all """,713,277,236,437,321,246,442,303,469,NA
"11",0,"""Josh wanted to talk about the new movie with his co-workers.He asked his co-worker Seth whether any had seen the movie yet.Seth said that some of them had.He addedthatthe restwould bemadif Joshgave away spoilers.""",""" some of them """,""" any """,627,492,469,283,264,238,235,264,477,483
"12",0,"""Quinn and Chase were thinking about going to one of the season&quotechars ball games.Quinn asked Chase whether all were scheduled for the afternoon.Chase said that some of them were.He addedthatthe restwould beplayedat night.""",""" some of them """,""" all """,737,374,247,481,258,215,214,456,464,NA
"13",0,"""Alexa was looking at the puppies at the shelter..She asked the employee Stephen whether any would grow into large dogs.Stephen said that some of them would.He addedthatthe restwould besmallwhen full-grown.""",""" some of them """,""" any """,598,311,274,239,237,259,212,272,473,NA
"14",0,"""Lydia was trying to choose one of the kittens from her friend Kim&quotechars pet store.She asked Kim if any had gotten their shots yet.Kim said that only some of them had.She addedthatthe restwould begetting themlater.""",""" only some of them """,""" any """,536,288,321,266,269,243,238,231,285,NA
"15",0,"""Jason and Perry were ordering computers for the new lab.Perry asked Jason whether any would have an Internet connection.Jason said that some of them would.He addedthatthe restwould befor offline workonly.""",""" some of them """,""" any """,805,308,289,265,328,293,284,522,552,NA
"16",0,"""Andrea was looking at computers in the store.She asked the clerk Tom whether all came with webcams built in.Tom said that some of them did.He addedthatthe restwould beable to usea USB webcam.""",""" some of them """,""" all """,558,327,295,209,255,505,269,221,291,NA
"17",0,"""Alex was perusing the breakfast cereals at the grocery store.He asked Carrie whether any had high levels of sugar.Carrie said that only some of them did.She addedthatthe restwould behealthierbutnot as tasty.""",""" only some of them """,""" any """,612,296,287,254,516,308,278,314,481,269
"18",0,"""Carrie and Tim were comparing venues for their upcoming wedding.Carrie asked Tim whether all would accommodate so many guests.Tim said that some of them would.He addedthatthe restwould becrowdedwiththat many people.""",""" some of them """,""" all """,613,350,378,447,331,263,299,287,508,505
"19",0,"""Molly and Tony were hosting a dinner party for Tony&quotechars classmates.Molly asked Tony whether any were allergic to any foods.Tony said that only some of them were.He addedthatthe restwould beable to eatanything.""",""" only some of them """,""" any """,499,291,273,290,231,214,225,266,358,NA
"20",0,"""Eric was preparing to travel in Italy with his classmates.Eric&quotechars mom asked him whether all had been to Europe before.Eric said that some of them had.He addedthatthe restwould benervous abouttraveling abroad.""",""" some of them """,""" all """,579,297,112,675,442,361,560,493,420,NA
"21",0,"""Trevor was curious about the professors&quotechar summer breaks.He asked Dr. Johnson whether any would be going out of town.Dr. Johnson said that only some of them would.He addedthatthe restwould bearoundall summer.""",""" only some of them """,""" any """,682,493,318,234,286,256,262,252,214,NA
"22",0,"""Lana was watching episodes of her favorite sitcom on her day off.Ashley asked her whether any lasted less than an hour..Lana said that some of them did.She addedthatthe restwould betoo rushedthat way.""",""" some of them """,""" any """,393,322,255,266,266,238,362,190,312,NA
"23",0,"""Donna and Martha were discussing the rooms of the new house.Donna asked Martha whether any would need to be wallpapered.Martha said that some of them would.She addedthatthe restwould bepaintedinstead.""",""" some of them """,""" any """,512,309,285,280,530,284,256,229,567,NA
"24",0,"""Stan and Marilyn were trying to decide what type of tree to plant.Stan asked Marilyn whether all would grow well in shade.Marilyn said that only some of them would.She addedthatthe restwould bebetter offin full sun.""",""" only some of them """,""" all """,884,399,316,267,270,243,253,238,266,NA
"25",0,"""Molly was looking at apartments.She asked the agent Sally whether all would be available next month.Sally said that  some of them would.She addedthatthe restwould beavailablein August.""",""" some of them """,""" all """,1013,330,295,238,273,239,238,248,250,NA
"26",0,"""Lyle was driving to meet his friends at the restaurant.He asked Sarah whether all were already at the table.Sarah said that only some of them were.She addedthatthe restwould betherein five minutes.""",""" only some of them """,""" all """,941,487,348,320,328,334,477,462,485,NA
"27",0,"""Mrs. Myers was worried that her students weren&quotechart ready for the test.She asked the Mr. Robbins whether any had to take the test.Mr. Robbins said that only some of them did.He addedthatthe restwould beable totake itthe next weekend.""",""" only some of them """,""" any """,598,349,265,232,279,210,256,250,430,539
