workerid,rt,sentence,segment4,corans,complete_sentence,answer,type,response,condition,slide_number_in_experiment,language,enjoyment,gender,age,problems,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,13471,"[""Clint and Ted were in the same chemistry class."", "" Clint asked Ted when their final was."", "" Ted said that"", "" it was"", "" next Wednesday."", "" He added"", "" that"", "" there was"", "" a final paper"", "" due"", "" on Friday"", "", also.""]",""" it was""","""""","""Clint and Ted were in the same chemistry class. Clint asked Ted when their final was. Ted said that it was next Wednesday. He added that there was a final paper due on Friday, also.""","""""","""practice""","[null, 1641, 1912, 937, 623, 967, 634, 519, 438, 494, 520, 490, 545]",""" any """,4,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,13742,"[""Janice wanted to go for a bike ride on the weekend."", "" Her friend Catherine was going to go with her."", "" They decided"", "" to go"", "" on Saturday."", "" On Saturday"", "" they"", "" packed up"", "" a picnic lunch"", "" and set out."", """", """"]",""" to go""",""" Saturday""","""Janice wanted to go for a bike ride on the weekend. Her friend Catherine was going to go with her. They decided to go on Saturday. On Saturday they packed up a picnic lunch and set out.""",""" Saturday""","""practice""","[4657, 1836, 1021, 507, 444, 463, 493, 431, 436, 315, 497]",""" any """,5,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,11831,"[""Peter and Sam were both dog lovers."", "" Peter asked Sam what his favorite breed was."", "" Sam said"", "" his favorite was"", "" beagles."", "" He added"", "" that"", "" they made"", "" great"", "" house pets."", """", """"]",""" his favorite was""","""""","""Peter and Sam were both dog lovers. Peter asked Sam what his favorite breed was. Sam said his favorite was beagles. He added that they made great house pets.""","""""","""practice""","[10757, 1103, 1091, 298, 592, 323, 590, 285, 293, 262, 260, 531]",""" all """,6,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,8393,"[""Jeff and Mark had to turn in their class project on Monday."", "" Jeff asked Mark to send him his part by Saturday night."", "" Mark nodded"", "" and said that"", "" he would."", "" He added"", "" that"", "" he would"", "" proofread it"", "" first."", """", """"]",""" and said that""","""""","""Jeff and Mark had to turn in their class project on Monday. Jeff asked Mark to send him his part by Saturday night. Mark nodded and said that he would. He added that he would proofread it first.""","""""","""practice""","[2652, 1431, 346, 1348, 570, 308, 502, 590, 280, 459, 444]",""" any """,7,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,10558,"[""Johnny and Rich were supposed to bring dessert to the party."", "" They decided to bring ice cream."", "" but couldn&quotechart choose a flavor"", "" Rich&quotechars favorite flavor"", "" was"", "" cookies and cream."", "" Johnny&quotechars"", "" favorite flavor"", "", however"", "", was"", "" rocky road."", """"]",""" Rich&quotechars favorite flavor""",""" Dessert""","""Johnny and Rich were supposed to bring dessert to the party. They decided to bring ice cream. but couldn&quotechart choose a flavor Rich&quotechars favorite flavor was cookies and cream. Johnny&quotechars favorite flavor, however, was rocky road.""",""" Dessert""","""practice""","[2579, 1233, 361, 806, 342, 636, 461, 372, 394, 459, 1388, 747]",""" all """,8,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,8624,"[""The dinosaurs went extinct 65 million years ago."", "" Scientists are still not sure what caused the extinction."", "" Some believe"", "" it was caused by"", "" a meteor."", "" Others believe"", "" it was"", "" due to"", "" volcanic activity"", "" or a"", "" sudden drop in"", "" sea level.""]",""" it was caused by""","""""","""The dinosaurs went extinct 65 million years ago. Scientists are still not sure what caused the extinction. Some believe it was caused by a meteor. Others believe it was due to volcanic activity or a sudden drop in sea level.""","""""","""practice""","[4017, 1116, 370, 693, 523, 411, 466, 392, 272, 329, 499, 314, 438]",""" all """,9,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,9109,"[""Curtis and Joanne were looking at chandeliers."", ""Joanne asked Curtis whether they needed special lightbulbs."", ""Curtis said that"", ""none of them"", ""did."", ""He added"", ""that"", ""they"", ""were"", ""just like"", ""normal lamps."", """"]","""none of them""","""""","""Curtis and Joanne were looking at chandeliers.Joanne asked Curtis whether they needed special lightbulbs.Curtis said thatnone of themdid.He addedthattheywerejust likenormal lamps.""","""""","""filler-noquantifier-otherquantifiers""","[6043, 1253, 1348, 592, 458, 360, 557, 361, 299, 257, 258, 342]",""" any """,11,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,8342,"[""Sylvia and Audrey were trying to decide which color nail polish to use."", ""Sylvia asked Audrey whether any of them were sparkly."", ""Audrey said that"", ""only some of them"", ""were."", ""She added"", ""that"", ""the purple"", ""was"", ""an especially pretty"", ""color."", """"]","""only some of them""","""""","""Sylvia and Audrey were trying to decide which color nail polish to use.Sylvia asked Audrey whether any of them were sparkly.Audrey said thatonly some of themwere.She addedthatthe purplewasan especially prettycolor.""","""""","""filler-any-onlysome""","[2859, 543, 1192, 428, 515, 351, 505, 374, 316, 453, 468, 616, 1123]",""" any """,12,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,10816,"[""Teresa had shared a cookie recipe with Greg."", ""She asked Greg whether the cookies had turned out all right."", ""Greg said that"", ""most of them"", ""had."", ""He added"", ""that"", ""the rest"", ""had gotten"", ""a little"", ""burnt."", """"]","""most of them""","""They got burnt.""","""Teresa had shared a cookie recipe with Greg.She asked Greg whether the cookies had turned out all right.Greg said thatmost of themhad.He addedthatthe resthad gottena littleburnt.""","""They got burnt.""","""filler-noquantifier-otherquantifiers""","[3292, 2056, 332, 1044, 589, 302, 522, 629, 481, 363, 467, 589]",""" all """,13,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
0,10192,"[""Phil and Monica were looking at houses with the realtor."", ""Phil asked the realtor whether these houses had home security systems."", ""The realtor said that"", ""several of them"", ""did."", ""She added"", ""that"", ""the rest"", ""could"", ""have them"", ""installed."", """"]","""several of them""","""""","""Phil and Monica were looking at houses with the realtor.Phil asked the realtor whether these houses had home security systems.The realtor said thatseveral of themdid.She addedthatthe restcouldhave theminstalled.""","""""","""filler-noquantifier-otherquantifiers""","[4413, 1679, 1147, 986, 545, 482, 505, 330, 307, 252, 318, 318]",""" any """,14,"""English""","""1""","""Female""","""34""","""none""","""I sometimes would realize I didn&quotechart pay attention to names because I was so focused on the story details or I would fixate on the names and miss story details. I only felt my mind wander once during the survey where I felt I had totally missed the details. Interesting hit.""","""Yes""","""3""","""Windows""",864,1536,"""Chrome""","""3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 14:38:23 PDT 2018""","""3""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 14:38:23 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3RHLQY6EDT5394BXX1ST704EZ2A4DZ""","""33M4IA01QG2RV0G6PFUKXKE3KELRXB""",0,"""Submitted""","""Wed May 30 08:00:48 PDT 2018""","""Tue May 29 14:38:33 PDT 2018""","""Tue May 29 15:20:48 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""35.859566666666666"""
